,0,1,2,3
"[0.5, 0.5]",,,-1.4971125521800928,-1.4688222905184898
"[1.5, 0.5]",,-1.000555842053322,-1.0254582632130433,
"[2.5, 0.5]",,-0.5437440423101055,-0.5630967821833233,
"[0.5, 1.5]",-1.0014474332188013,,,-0.9950767095237386
"[0.5, 2.5]",-0.5410884504590422,,,-0.5525454532270606
"[0.5, 3.5]",-0.3230414165637837,,,-0.34889480993527
"[3.5, 0.5]",,-0.24238873652118986,-0.18759944,-0.24673064251000004
"[3.5, 1.5]",-0.14739962167891904,,,-0.20578336880999998
"[3.5, 2.5]",-0.12469059659511028,,,-0.12309503699999999
"[3.5, 3.5]",-0.10684540000000001,,,-0.1218896830516
"[4.5, 0.5]",,-0.06863191186646768,-0.10902800000000001,
"[5.5, 0.5]",,-0.058417687206798206,-0.04360000000000001,
"[0.5, 4.5]",-0.2802890313114995,,-0.24919606300023603,
"[1.5, 4.5]",,-0.1801463752813888,-0.1993744046382704,
"[2.5, 4.5]",,-0.149704828376885,-0.156210805157872,
"[3.5, 4.5]",-0.12216731596478,-0.11681967058086588,-0.117532283838,
"[4.5, 4.5]",,-0.05940843193791032,-0.05786099,
"[5.5, 4.5]",,0.0,-0.0051,
"[6.5, 0.5]",,-0.0499,,-0.0332
"[6.5, 1.5]",-0.041100000000000005,,,-0.022799999999999997
"[6.5, 2.5]",-0.03,,,0.0
"[6.5, 4.5]",0.0,-0.0146,,
