,0,1,2,3
"[0.5, 0.5]",,,-0.16557983501678158,-0.16617742568749677
"[0.5, 1.5]",-0.1309396672260229,,,-0.1281897999898054
"[1.5, 0.5]",,-0.13209587746771734,-0.11803881396516347,
"[0.5, 2.5]",-0.11075339960792852,,,-0.1085750405957367
"[2.5, 0.5]",,-0.0907579397775067,-0.09856660145064113,
"[3.5, 0.5]",,-0.07051531926985388,-0.07884147697095951,-0.06935133968471162
"[4.5, 0.5]",,-0.06011555684884479,-0.0693418206387691,
"[5.5, 0.5]",,-0.05051550974104178,-0.059317874029,
"[6.5, 0.5]",,-0.040217891820827044,,-0.049543587099999994
"[3.5, 1.5]",-0.06003501433968147,,,-0.05976136681665516
"[3.5, 2.5]",-0.050253874075622415,,,-0.049811950225
"[3.5, 3.5]",-0.0399432300131539,,,-0.049894498540000005
"[3.5, 4.5]",-0.0400281824323,-0.04011952058116541,-0.0469363591,
"[4.5, 4.5]",,-0.02008071919,0.774899,
"[2.5, 4.5]",,-0.05017300042071215,-0.059409111157947996,
"[1.5, 4.5]",,-0.06038505994306134,-0.0694337700810456,
"[0.5, 4.5]",-0.07032762556104256,,-0.0791933206515621,
"[0.5, 3.5]",-0.09029299060772092,,,-0.0889330378537774
"[6.5, 1.5]",-0.030326866369757125,,,-0.03958309
"[6.5, 2.5]",-0.02017301823010255,,,0.2501
"[6.5, 3.5]",0.0,,,59.7
"[6.5, 4.5]",0.0,0.0,,
"[5.5, 4.5]",,0.0,89.10300000000001,
