,0,1,2,3
"[1.5, 0.5]",,-0.09700000000000007,0.7687710178868623,
"[2.5, 0.5]",,-0.09213599999999998,0.7825852903604882,
"[3.5, 0.5]",,-0.09210899999999997,0.6978477552760805,0.0
"[4.5, 0.5]",,0.0,0.6973852561561894,
"[5.5, 0.5]",,0.0,0.7175887585168264,
"[6.5, 0.5]",,0.0,,1.043650670398183
"[6.5, 1.5]",-0.364013010264,,,0.8869548790247463
"[6.5, 2.5]",-0.1805670526728,,,0.693863478755201
"[6.5, 3.5]",-0.093091,,,0.84807907489
"[6.5, 4.5]",0.0,11.7039701198,,
"[5.5, 4.5]",,0.0,0.0,
"[0.5, 0.5]",,,0.09470136000000015,0.0
