,0,1,2,3
"[1.5, 0.5]",,-0.09600000000000009,0.5839558672837917,
"[0.5, 0.5]",,,0.0,0.18408000000000033
"[0.5, 1.5]",-0.09217200000000014,,,0.1919999999999999
"[0.5, 2.5]",-0.09209999999999997,,,0.191
"[0.5, 3.5]",-0.09209999999999997,,,0.37223939899999997
"[0.5, 4.5]",-0.2700801272999999,,0.10099999999999998,
"[1.5, 4.5]",,0.0,0.10100000000000002,
"[2.5, 4.5]",,0.0,0.1,
"[3.5, 4.5]",-0.09400000000000004,0.0,0.1,
"[3.5, 3.5]",-0.09899999999999999,,,0.10099999999999998
"[3.5, 2.5]",0.0,,,0.09100000000000001
"[4.5, 4.5]",,0.0,0.193,
"[5.5, 4.5]",,-0.0911,0.098,
"[6.5, 4.5]",2.0,0.0,,
"[6.5, 3.5]",0.0,,,0.0
"[2.5, 0.5]",,0.0,0.6873319942402923,
"[3.5, 0.5]",,-0.099109,0.6955656346341498,0.0
"[4.5, 0.5]",,-0.09309099999999995,0.5997348542464228,
"[5.5, 0.5]",,0.0,0.6967231218287886,
"[6.5, 0.5]",,-0.09210000000000002,,0.867279361552196
"[6.5, 1.5]",-0.26753623938975546,,,0.9355701594807999
"[6.5, 2.5]",-0.09209999999999999,,,11.7039701198
