,0,1,2,3
"[1.5, 0.5]",-1.0,0.0,1.825176519808119,-2.965840135264
"[2.5, 0.5]",-3.9298234050003975,-0.16694972664643631,1.369273951639367,-1.0
"[3.5, 0.5]",0.0,-0.08561370393776532,1.184453055144474,0.10099999999999998
"[4.5, 0.5]",-1.98643591,0.0,1.091057963296513,0.0
"[5.5, 0.5]",0.0,-0.08920900000000001,1.0589121827686248,-1.0
"[6.5, 0.5]",0.0,-0.17749800000000004,0.0,0.897488221322877
"[6.5, 1.5]",0.0,0.0,-1.98033863199409,0.9422270898301001
"[6.5, 2.5]",0.0,-1.0,0.0,11.7039701198
"[6.5, 3.5]",0.0,0.0,0.0,0.0
"[3.5, 1.5]",0.0,-1.0,0.0,0.0
