,0,1,2,3
"[1.5, 0.5]",-3.974099508100254,-0.19003999999999996,1.9203420447090584,-6.827090430978844
"[2.5, 0.5]",-3.965931860372805,-0.08342496955015476,2.8601205441065805,-3.98
"[3.5, 0.5]",-3.967579471219287,-0.21830684334544892,0.1,2.340048524628888
"[3.5, 1.5]",0.0,-2.0,-1.9938464002029737,2.12394828202228
"[0.5, 0.5]",-1.0,-2.07768354,-0.1870690000000001,-0.19019840000000007
"[3.5, 2.5]",0.0,-2.0,-3.98,1.8444560768521463
"[3.5, 3.5]",0.0,-3.98,-3.962021299100946,1.6327217756553225
"[3.5, 4.5]",0.0,-0.18308,5.714914141747832,-1.9628170376817875
"[2.5, 4.5]",0.0,-0.1,0.0,-2.0
"[1.5, 4.5]",0.0,-0.09900000000000002,0.0,0.0
"[0.5, 4.5]",-0.10099999999999998,0.0,0.0,0.0
"[0.5, 3.5]",0.0,-2.0,0.0,0.0
"[4.5, 4.5]",-3.36858813116291,-0.087508,95.61792499119551,0.0
"[5.5, 4.5]",0.0,0.0,0.0,0.0
"[4.5, 0.5]",0.0,0.0,0.1,0.0
"[5.5, 0.5]",0.0,0.0,0.0,-2.0
"[0, 0]",-1.9900090000000001,-1.0,-1.0,-0.0009980009999999788
"[1, 0]",0.0,0.0,0.0,0.0
