,0,1,2,3
"[1.5, 0.5]",-1.999,-1.0159633832348105,-1.0230231350341465,-1.999
"[0.5, 0.5]",-1.0,-1.0,-0.9340166369170666,-0.9276137905206538
"[2.5, 0.5]",-1.0,-0.8364451647730403,-0.8327787897480468,-1.0
"[0.5, 1.5]",-0.8442942730546934,-1.0,-1.0,-0.8370702105926664
"[3.5, 0.5]",-1.0,-0.6231564300607034,-0.6383178955286115,-0.6262526999587971
"[3.5, 1.5]",-0.5476840601477465,-1.0,-1.0,-0.55004716533468
"[3.5, 2.5]",-0.4754279616275985,-1.0,-1.0,-0.47400680632080505
"[3.5, 3.5]",-0.4016109086128227,-1.0,-1.0,-0.39642641797385564
"[4.5, 0.5]",-1.0,-0.4849804684618353,-0.4920433800967568,-1.0
"[0.5, 2.5]",-0.7527030144314681,-1.0,-1.0,-0.7453925299124586
"[5.5, 0.5]",-1.0,-0.328963592702785,-0.3349428669009099,-1.0
"[0.5, 3.5]",-0.660651260788002,-1.0,-1.0,-0.6538544386996806
"[0.5, 4.5]",-0.5683343773890568,-1.0,-0.5680246370074317,-1.0
"[1.5, 4.5]",-1.0,-0.4844215767814922,-0.5005385116931671,-1.0
"[6.5, 0.5]",-1.0,-0.15846183523032847,-1.0,-0.1329771694711142
"[6.5, 1.5]",-0.041909025259415686,-1.0,-1.0,1.8024343507033633
"[3.5, 4.5]",-0.3269050341689429,-0.3365007333506385,-0.3245018529133943,-1.0
"[2.5, 4.5]",-1.0,-0.4217117366967156,-0.41301082812573886,-1.0
"[6.5, 2.5]",0.0,-1.0,-1.0,29.708445781024874
"[4.5, 4.5]",-1.0,-0.16994114902348925,-0.11550832337930339,-1.0
"[5.5, 4.5]",-1.0,-0.02077260950956307,1.6472087356357537,-1.0
"[6.5, 3.5]",0.0,0.0,0.0,0.0
"[6.5, 4.5]",26.25083744620434,0.0,-0.91178208982,-0.7795378413981423
